# SvC 원버튼 회귀 시나리오 — 구간 / 세이브 / 사전입력(|) / 트리거 / 판정식 / 설명
# 판정식에 쓸 수 있는 것: b(뱅크 흐름) a(애니) hp(누적 피해) face(좌우) x1 x2
# 판정식 앞에 ~ 를 붙이면 대조군(엔진 끔) 검사를 면제한다 — 엔진과 무관한 게 정상인 구간에만.
# 쿄 기준 뱅크: 22=황물기(236P) 23=오니야키(623P) 21=앞슬롯 0/255=평타·대기
#
# ── 슬롯 (방향을 쥔 채) ────────────────────────────────────────
중립	c0_0	1 -	1 X	22 in b	방향 없이 = N슬롯 황물기
아래쥠	c0_0	2 D	1 D X	23 in b and hp >= 3	↓ 쥔 채 = 오니야키
앞쥠	c0_0	2 R	1 R X	21 in b	앞 슬롯
뒤쥠	c0_0	2 L	1 L X	22 in b or 21 in b	뒤 슬롯
#
# ── 방향 래치 (방향을 뗀 뒤 누름 — 실기 체감의 핵심) ──────────
아래뗌	c0_0	2 D	1 X	23 in b and hp >= 3	↓ 떼고 X 도 오니야키여야 한다
앞뗌	c0_0	2 R	1 X	21 in b	앞 떼고 X 도 앞 슬롯
걷다뗌	c0_0	40 R	1 X	21 in b or 22 in b	걷던 방향이 4프레임 이어진다
#
# ── 상황 ──────────────────────────────────────────────────
공중	c0_0	2 U|14 -	1 X	~4 in b or 5 in b	점프 중 = 점프 공격(쿄는 공중 슬롯 비움 — 엔진 무관이 정상)
경직	c0_0	3 B|4 -	1 X	22 in b	평타 경직 뒤 보류 발사
밀착	c0_0	170 R|2 L	1 L X	hp > 0 or min(a) <= 12	밀착 상태
#
# ── 체인 (쿄 강펀 -> 독물기) ──────────────────────────────
강펀캔슬	c0_0	12 B|2 -	1 X	22 in b and hp >= 3	강펀치 히트 뒤 X = 캔슬 콤보(뱅크 22 가 나와야 진짜)
#
# ── 다른 캐릭터 (지상 2슬롯 + 래치) ───────────────────────
테리중립	c1_0	1 -	1 X	22 in b	테리
료아래	c1_1	2 D	1 X	23 in b	료 — 방향 떼고도 아래 슬롯
류중립	c3_0	1 -	1 X	22 in b and hp > 0	류
켄중립	c2_0	1 -	1 X	22 in b	켄
마이중립	c0_2	1 -	1 X	22 in b or 23 in b	마이
이오리중립	c0_1	1 -	1 X	22 in b or 23 in b	이오리
