# 재더빙 v4 캐스팅 대장 — 2026-08-30 확정 (로스터 11인, 4차 오디션 종결)
# 아웃: 샤를로트(7)/소게츠(10)/모로즈미(13)/유가(14) — 대사표 보존, 팩 미수록, 해설 순환 스킵
# spk	화자	ElevenLabs voice_id	비고
0	하오마루	Fb9RdXidcUpegVbug0tb	v2 승계 [hearty]
1	나코루루	6awt6FKyZGV0HyQEwisX	★ 4차 확정: Suzu (Cute Clear Calm — 리무루루 또래) [gentle]
2	한조	nZJeMdagwxXl3u9DjyD8	v2 승계 [stern]
3	갈포드	xB7ZTAdAjd7cI20IXiAL	★ 4차 확정: ChrisBeck (Rocket Radio — 열혈 아나운서톤) [heroic]
4	리무루루	2QvF6aaHylD9eOZwL8CP	v2 승계 (기준 캐스팅) [playful]
5	겐주로	PzjM0GEvHsoRx99kBNqg	v2 승계 [menacing]
6	우쿄	FQ3MuLxZh0jHcZmA5vW1	v2 승계 [weary]
8	쥬베이	mMMpmkJZ7sfhEhC8pImH	v2 승계 [elderly]
9	카즈키	BBAyvmlzGy3kA2aXfy3K	v2 승계 [fiery]
11	아수라	6FzAqiyzy5gucstqnA6p	v2 승계 [ominous]
12	시키	Sfb3Gl0wcseB3wahvA42	v2 승계 [languid] (전반 dramatic)
15	심판(쿠로코)	hI3nhWWVuTFZYdr41d6v	v2 승계 — v3 클립 399개 재사용
# 연기 레시피: 기본 = 짧은 스타일 태그 + stab 0.2 / 격정 이벤트(TONE1) = [dramatic] + stab 0
# 대본: 호격형(이름 뒤 조사 금지), 주요 기술 122종만 호명, 컷 272줄
