# 재더빙 v3 캐스팅 대장 — 2026-08-30 오디션 확정분 반영 (미확정 역은 v2 승계)
# 오디션: 3역 x 3보이스 x 3줄 파일럿, 유저 픽 = 덕수 / 로사오 / 커런트
# spk	화자	ElevenLabs voice_id	비고
0	하오마루	Fb9RdXidcUpegVbug0tb	v2 승계 (기준 캐스팅)
1	나코루루	ph0Ods045PMGRJPLdlPA	v2 승계 — 글읽는 느낌 제보, 연출 태그로 보완 예정
2	한조	nZJeMdagwxXl3u9DjyD8	v2 승계
3	갈포드	IAETYMYM3nJvjnlkVTKI	★ 오디션 확정: Deoksu (유쾌 낭랑, 영어투 열혈)
4	리무루루	2QvF6aaHylD9eOZwL8CP	v2 승계 (기준 캐스팅)
5	겐주로	PzjM0GEvHsoRx99kBNqg	v2 승계
6	우쿄	FQ3MuLxZh0jHcZmA5vW1	v2 승계
7	샬롯	sf8Bpb1IU97NI9BHSMRf	★ 오디션 확정: Rosa Oh (단정 기품, 하오체 기사 대본)
8	쥬베이	mMMpmkJZ7sfhEhC8pImH	v2 승계
9	카즈키	BBAyvmlzGy3kA2aXfy3K	v2 승계
10	소게츠	3MTvEr8xCMCC2mL9ujrI	v2 승계
11	아수라	6FzAqiyzy5gucstqnA6p	v2 승계
12	시키	Sfb3Gl0wcseB3wahvA42	v2 승계 (기준 캐스팅)
13	모로즈미	s07IwTCOrCDCaETjUVjx	v2 승계 — 하게체 새 대본
14	유가	M2pNcAYbPeiNxpVLfQL2	★ 오디션 확정: 현행 유지 (신탁체 새 대본으로 대조 청취 후 결정)
15	심판(쿠로코)	hI3nhWWVuTFZYdr41d6v	v2 승계 (호평)
# 이름 3톤 분리(\x01N<spk>/<T>\x01), 승부결정/한판/회전 숫자 클립은 팩 생성 단계에서 추가
# 생성 설정(예정): eleven_v3, pcm_22050 -> 2배 업샘플, 트림, 피크 0.85, OGG VORBIS
